operator,call_index,layer,head,discovery_mean_gain,validation_mean_gain,discovery_horizon_slope,validation_horizon_slope
landmark,0,20,9,-3.0527526090876975,-2.9315083046503267,-0.46437188446261174,-0.42800590408313927
landmark,0,20,10,-2.2791699869691664,-2.3945193824296056,0.3745380775637717,0.4677439211794553
landmark,0,20,11,-5.854384005545018,-5.697046410976134,-0.5418607612551427,-0.7685170343376991
landmark,0,21,0,-4.693625642751539,-4.538741270079512,-0.8148913687991979,-0.789455431591215
landmark,0,21,1,-4.6054273896235935,-4.452845492978997,0.05303626627160088,0.1320898947517295
landmark,0,21,2,-3.2941451780501207,-3.253261414156856,0.41574562114494185,0.4995063758907668
landmark,0,21,3,-2.5884421145470085,-2.3061330554588153,-0.5031944662547235,-0.6063569847955059
landmark,0,21,4,-3.0061931037440104,-2.981565350774314,0.5370368995810034,0.5271330077205973
landmark,0,21,5,-2.0196880072336976,-1.9641596168880104,0.23055828989592644,0.21060180379453827
landmark,0,21,6,-3.379985948672221,-3.390134246072422,0.10414094587815904,0.1341355860273994
landmark,0,21,7,-4.476132288486597,-4.653892477012973,-0.1782972005278418,-0.02351423809994274
landmark,0,21,8,-7.936840545767935,-7.895978217132062,0.9120563395468037,0.9572020959043577
landmark,0,21,9,-1.2261597036886716,-1.435717332713896,-0.48655434035242234,-0.6331228837484781
landmark,0,21,10,-4.336298231642481,-4.443713777356901,-1.1929871280969642,-1.1054373286321975
landmark,0,21,11,-4.56459369650496,-4.454910673081666,-2.206262381132079,-2.115479108452038
landmark,0,22,0,-2.1580916939090873,-2.148978114237478,0.05262746011932576,0.06526392182190582
landmark,0,22,1,-2.982855337127008,-3.0091535719575844,-0.28495030414486144,-0.20811581922720643
landmark,0,22,2,-3.3021288095638694,-3.256812929239327,0.27411924578742647,0.3810239739737508
landmark,0,22,3,-4.277792103318784,-4.172015214251426,-0.31240495600847323,-0.20967371968051596
landmark,0,22,4,-2.3940880393868156,-2.3310047164245415,-0.10377703337203385,-0.08598517486454393
landmark,0,22,5,-4.203829241528632,-4.093524427416469,-0.5766924450688135,-0.42167074598970156
landmark,0,22,6,-1.9536572417688252,-2.1620588543114345,0.3562642899538558,0.35066309019802855
landmark,0,22,7,-2.1669365248683694,-2.0869894496624872,-0.17311879782882178,-0.02466943243071381
landmark,0,22,8,-5.071162582635375,-4.840737339207618,-0.6311721377641076,-0.38072870774235373
landmark,0,22,9,-0.8621604612404409,-0.9817553354912921,0.3237135850559967,0.3555564573567156
landmark,0,22,10,-3.451659355987441,-3.5453364451285947,-0.2210548799492264,-0.11815460238608236
landmark,0,22,11,-2.9039211397758447,-2.9533905659811115,-1.2296707499865405,-1.0016196777450668
landmark,0,23,0,-2.926380434085346,-2.968207314320773,0.3092238769185628,0.4213830471791563
landmark,0,23,1,-5.682370415475696,-5.225486210045168,-0.9641391915343696,-0.7538100706786728
landmark,0,23,2,0.021743762444242535,0.4149730362788198,0.3273496234126132,0.479609357231662
landmark,0,23,3,-3.6910822833227477,-3.6688565471315524,-0.08102200011258143,-0.005111576164573578
landmark,0,23,4,-3.2439874118041927,-3.139461649238466,-0.45822056249634463,-0.38501651716772134
landmark,0,23,5,-2.8722207171298475,-2.9657396061747368,-0.03367761062736228,0.044848360441933535
landmark,0,23,6,-2.1901357012830256,-2.2263459423649095,0.13638086709114344,0.19891353696249672
landmark,0,23,7,-3.674961980107414,-3.409219370112362,-0.27401817651861754,-0.22459897822698655
