candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_random,sf_fifo21,early_half,64,semantic_alignment,-0.0001246964924835755,6.459759814397836e-05,0.53125,0.0,-0.0007821892695834075,0.0005586957172324317,0.353990377067382,,
ours_random,sf_fifo21,early_half,64,visual_quality,0.0003364969480649663,-0.00013656169176107236,0.484375,0.0,-0.0006843296069834906,0.001360259542516092,0.646009622932618,,
ours_random,sf_fifo21,early_half,64,dynamic_degree,0.004464285714285714,0.0,0.125,0.78125,-0.017857142857142856,0.026785714285714284,0.395263671875,,
ours_random,sf_fifo21,early_half,64,subject_consistency,0.0002872530179214225,-2.0894162234275093e-05,0.484375,0.0,-0.00015616981389846634,0.00078080506603916,0.646009622932618,,
ours_random,sf_fifo21,early_half,64,imaging_quality,-3.4355245131459204e-05,-9.003809520174988e-05,0.46875,0.0,-0.0019770327467537683,0.001893239640248297,0.7338456119860789,,
pooled_correct,sf_fifo21,early_half,64,quality_without_dynamic_degree,0.008851974372748206,0.003255496546010761,0.515625,0.0,-0.03399057586176033,0.05397305800678459,0.45032662312601657,,
pooled_correct,sf_fifo21,early_half,64,official_quality_score,0.008851974372748428,0.0007091250317827757,0.5,0.0,-0.12203929888920977,0.1533676176796458,0.5496733768739834,,
pooled_correct,sf_fifo21,early_half,64,identity_background,-2.474332209558179e-05,-7.528598582884349e-06,0.484375,0.0,-0.0003842017649490486,0.00033508205782532076,0.646009622932618,,
pooled_correct,sf_fifo21,early_half,64,temporal_mechanics,0.00010354460097815842,9.12019455023838e-06,0.5625,0.0,-0.00013062226522690852,0.0003603140474392637,0.19086639739666883,,
pooled_correct,sf_fifo21,early_half,64,semantic_alignment,-0.00011337739748082344,0.00014791744095934978,0.53125,0.0,-0.0009398000227520278,0.0007645133275738219,0.353990377067382,,
pooled_correct,sf_fifo21,early_half,64,visual_quality,1.9501496904664878e-05,0.0004480642931802281,0.53125,0.0,-0.0010704097145103953,0.0011040944884797216,0.353990377067382,,
pooled_correct,sf_fifo21,early_half,64,dynamic_degree,8.673617379884035e-19,0.0,0.078125,0.828125,-0.020089285714285712,0.020089285714285712,0.7255859375,,
pooled_correct,sf_fifo21,early_half,64,subject_consistency,0.00010709116571370678,6.437627526834078e-06,0.515625,0.0,-0.0003567523517886226,0.0005770325584066949,0.45032662312601657,,
pooled_correct,sf_fifo21,early_half,64,imaging_quality,6.7856162796337e-08,9.683455739700753e-05,0.515625,0.0,-0.0016960287249114853,0.0017000571974619817,0.45032662312601657,,
pooled_correct,ours_random,early_half,64,quality_without_dynamic_degree,-0.004608451143882419,0.00164903949746531,0.515625,0.0,-0.035226988084641864,0.024040168783080285,0.45032662312601657,,
pooled_correct,ours_random,early_half,64,official_quality_score,-0.03894911048453986,0.0035598010847692763,0.515625,0.0,-0.13586240130055857,0.0505771742662716,0.45032662312601657,,
pooled_correct,ours_random,early_half,64,identity_background,-0.00032186484419883046,-0.0001246238622524265,0.375,0.0,-0.0007058066777192302,2.3083486326607277e-05,0.9836171204505884,,
pooled_correct,ours_random,early_half,64,temporal_mechanics,0.00019195876376558625,4.154279413470796e-06,0.546875,0.0,2.781988815297805e-05,0.00040794152504929423,0.26615438801392105,,
pooled_correct,ours_random,early_half,64,semantic_alignment,1.1319095002752062e-05,5.076293434416734e-05,0.53125,0.0,-0.0005635241113070962,0.0005794482363853553,0.353990377067382,,
pooled_correct,ours_random,early_half,64,visual_quality,-0.00031699545116030143,-0.0003428328888757104,0.46875,0.0,-0.0010722788767556562,0.00036337116911143224,0.7338456119860789,,
pooled_correct,ours_random,early_half,64,dynamic_degree,-0.004464285714285715,0.0,0.046875,0.875,-0.017857142857142856,0.006696428571428576,0.85546875,,
pooled_correct,ours_random,early_half,64,subject_consistency,-0.00018016185220771572,5.378333528238688e-05,0.546875,0.0,-0.0007267522113515989,0.0003214174116148283,0.26615438801392105,,
pooled_correct,ours_random,early_half,64,imaging_quality,3.442310129425554e-05,0.000237341608319952,0.546875,0.0,-0.0008924812669200568,0.0009338609146985502,0.26615438801392105,,
ours_correct,sf_fifo21,late_half,64,quality_without_dynamic_degree,0.05765875954756072,0.050510547720854504,0.6875,0.0,-0.22142261733340848,0.3049347808626518,0.0018449821382700243,,
