mode,current_frame,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,temporal_reach_ratio,temporal_reach_ratio_samples
clean,21,9,4,-0.07017832598610066,16,0.009375092916049424,16,0.16236850738625547,16,0.5768436193466187,16
clean,21,9,5,-0.1904990468676728,16,-0.010187933962586392,16,-0.4458903038326274,16,0.2980295568704605,16
clean,21,9,6,-0.09203170788996806,16,-0.046426048511454834,16,-0.35667897613710237,16,0.4120071679353714,16
clean,21,9,7,-0.26125683602172634,16,-0.014258529881831187,16,-0.2944602016698047,16,0.19201688468456268,16
clean,21,9,8,-0.37368974895554663,16,-0.02840660909693537,16,-0.3102415744978849,16,0.27865760028362274,16
clean,21,9,9,0.027085097033827565,16,-0.01696902075048624,16,0.016995879529765546,16,0.36308084428310394,16
clean,21,9,10,0.055507876427835307,16,-0.006306886911730083,16,-0.15803991472487924,16,0.24813834577798843,16
clean,21,9,11,-0.19068235024649327,16,-0.02029661850390734,16,-0.3715429725383198,16,0.3046640306711197,16
clean,21,10,0,-0.13577035379448463,16,-0.01006351363467057,16,-0.0783785062433115,16,0.23011763393878937,16
clean,21,10,1,0.008461687445506122,16,-0.014460906534783845,16,-0.28101442937297394,16,0.3401820659637451,16
clean,21,10,2,-0.2472446892602789,16,-0.011464025756949811,16,-0.056250167645461174,16,0.23395753651857376,16
clean,21,10,3,0.03804403142388868,16,-0.030234458897897065,16,-0.22467462346608993,16,0.22490156441926956,16
clean,21,10,4,-0.16971116807642211,16,-0.023559591912037565,16,-0.3854189112094947,16,0.286752387881279,16
clean,21,10,5,-0.3486696080918503,16,-0.020133842643459812,16,-0.1614534806777485,16,0.3138698637485504,16
clean,21,10,6,-0.20686986394098392,16,-0.034054835159975046,16,-0.4018548129443452,16,0.23617874085903168,16
clean,21,10,7,-0.21191417604680934,16,-0.009518039709486205,16,-0.1916676678180394,16,0.2723805159330368,16
clean,21,10,8,-0.38813259476661355,16,-0.0386280657128496,16,-0.5698697734748523,16,0.3461325466632843,16
clean,21,10,9,-0.13937700938634834,16,-0.02443867329177408,16,-0.5241985542046812,16,0.27603694796562195,16
clean,21,10,10,-0.175578056524818,16,-0.043568319342240355,16,-0.28868224360719563,16,0.30024170875549316,16
clean,21,10,11,0.0031682296855846323,16,-0.0031655108394263195,16,-0.22474069867965707,16,0.19482223689556122,16
clean,21,11,0,-0.2354249197084212,16,-0.04263224625823682,16,-0.4904219093976233,16,0.3545394539833069,16
clean,21,11,1,0.09743987406148975,16,-0.03306374625639998,16,-0.6848320549942499,16,0.2994501441717148,16
