mode,nominal_timestep,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,native_score,native_score_samples,query_score,query_score_samples
clean,0,10,2,-0.16453040965026633,16,-0.024537977449959177,16,-0.05568215044458508,16,-0.20135153295211897,16,-0.2552809987342889,16
clean,0,10,3,-0.06319831366512862,16,-0.023378361643465795,16,-0.1987504612856112,16,-0.19816669547164079,16,-0.19446117010214814,16
clean,0,10,4,-0.17565993423466403,16,-0.020358495238891588,16,-0.24155155566718728,16,-0.1917005227800408,16,-0.19027157428771801,16
clean,0,10,5,-0.2045541760723916,16,-0.035602692289208954,16,-0.1850927746812058,16,-0.2320051593632114,16,-0.24105460900021256,16
clean,0,10,6,0.006518840048438258,16,-0.021392343688034585,16,-0.029660840931468993,16,-0.12602302135538415,16,-0.15669959982099918,16
clean,0,10,7,-0.09405141178407798,16,-0.009933639173280263,16,-0.2730147538507878,16,-0.11556908018939879,16,-0.22556386410719748,16
clean,0,10,8,-0.21784348295961867,16,-0.018591203627689703,16,-0.2732435892192987,16,-0.14887486397107572,16,-0.15146475767535383,16
clean,0,10,9,-0.29769621913298566,16,-0.03430285452533353,16,-0.47465399529548363,16,-0.11830106921558664,16,-0.24537127123767927,16
clean,0,10,10,-0.4040092785404775,16,-0.029927747935317536,16,-0.11455180334428208,16,-0.3146252357642093,16,-0.22287263689239728,16
clean,0,10,11,-0.19493425335529435,16,-0.010932297612451524,16,-0.17421647258497902,16,-0.2175910835392026,16,-0.25599374509076545,16
clean,0,11,0,-0.22026333694064104,16,-0.03897906312063756,16,-0.2869736438333462,16,-0.2325220771246584,16,-0.2749502942336916,16
clean,0,11,1,-0.1663744129820936,16,-0.038795655809907986,16,-0.2413073194712111,16,-0.20937027154659477,16,-0.21640593102852013,16
clean,0,11,2,-0.1907027384340206,16,-0.029979522762757088,16,-0.21015790395209177,16,-0.3178653881084793,16,-0.2527735513949859,16
clean,0,11,3,-0.05505001150255144,16,-0.029064353749413623,16,-0.42837409451376784,16,-0.11484749784824311,16,-0.22881133149728666,16
clean,0,11,4,-0.22128290759573993,16,-0.015197785970614606,16,-0.18490369403430734,16,-0.3985660072655761,16,-0.3079264405444337,16
clean,0,11,5,-0.05905384240853272,16,-0.022576665074315667,16,-0.128599183889597,16,-0.21223688000278568,16,-0.288198534531884,16
