comparison,metric,context,unit_count,mean_difference,median_difference,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
top_minus_bottom,raw_value_direction_cosine,clean,64,0.05082600125949992,0.029257180210616848,0.953125,0.03634746306030264,0.06718064027712395,0.469574780058651
top_minus_bottom,raw_value_direction_cosine,noisy_t1000,64,0.08660223321632418,0.08183519549460874,1.0,0.07796479516895626,0.0952936432736693,0.41129032258064513
top_minus_bottom,raw_value_direction_cosine,noisy_t500,64,0.0681381787373741,0.05789299543377839,1.0,0.05727160728007979,0.08017758569217247,0.5069648093841641
top_minus_bottom,raw_value_direction_cosine,pooled,64,0.06852213773773273,0.05759240851599585,1.0,0.05816898482612044,0.07930948429555107,0.5461876832844574
top_minus_random,raw_value_direction_cosine,clean,64,0.030067104168726173,0.018307752257937362,0.984375,0.020577643311819684,0.04083539822749169,0.4732404692082111
top_minus_random,raw_value_direction_cosine,noisy_t1000,64,0.05217772968684736,0.051508689945977605,0.984375,0.04637931837261173,0.058308033393914285,0.2452346041055718
top_minus_random,raw_value_direction_cosine,noisy_t500,64,0.036926169411647905,0.03337139853586753,0.921875,0.02913296882186135,0.04569613144859028,0.44134897360703806
top_minus_random,raw_value_direction_cosine,pooled,64,0.03972366775574048,0.03614737179595977,1.0,0.032959743435344975,0.04708527754456731,0.6239002932551319
top_minus_bottom,refined_value_direction_cosine,clean,64,0.05804951959001604,0.0440317830329554,0.96875,0.04314824258232471,0.07434278413591655,0.5179618768328446
top_minus_bottom,refined_value_direction_cosine,noisy_t1000,64,0.09287606604955524,0.0905152163313081,1.0,0.08414235736734806,0.10226094061792032,0.34017595307917886
