comparison,channel,family,intervention,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:scalar:uniform:high>random7,susceptibility,scalar,uniform,high>random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.09309856942173036,0.10849810280726095,0.890625,0.07760384145771913,0.10797789182876046,0.41495601173020524
susceptibility:scalar:uniform:high>random7,susceptibility,scalar,uniform,high>random7,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.08606789043402462,0.1001973794361373,0.88671875,0.07172832730589547,0.09971460716455513,0.407258064516129
susceptibility:scalar:uniform:random7>low,susceptibility,scalar,uniform,random7>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.10799381519533216,0.10358659138645876,0.921875,0.08198609811942313,0.13338544010820638,0.6202346041055717
susceptibility:scalar:uniform:random7>low,susceptibility,scalar,uniform,random7>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.20335325385886116,0.19147948982513474,0.984375,0.17985729312610144,0.22637493323113445,0.5832111436950146
susceptibility:scalar:uniform:random7>low,susceptibility,scalar,uniform,random7>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.17458022574308063,0.16475297385793952,0.984375,0.150108091937859,0.19875392008995843,0.5828445747800586
susceptibility:scalar:uniform:random7>low,susceptibility,scalar,uniform,random7>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.14905648833708823,0.1562864938482323,0.96875,0.12352260326405126,0.17408569691047862,0.6180351906158357
susceptibility:scalar:uniform:random7>low,susceptibility,scalar,uniform,random7>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.15874594578359055,0.15556981050882895,0.96484375,0.13408103554976133,0.18338267193437982,0.6348973607038122
leverage:scalar:uniform:high>random0,leverage,scalar,uniform,high>random0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.19117946106690747,0.16739002638445016,0.828125,0.12398888489369182,0.26045558528240176,0.01282991202346041
leverage:scalar:uniform:high>random0,leverage,scalar,uniform,high>random0,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,0.0736445809271191,0.07877574835336598,0.84375,0.049101877730427713,0.09849417648053474,0.3412756598240469
leverage:scalar:uniform:high>random0,leverage,scalar,uniform,high>random0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.08888468499701166,0.09287510488475106,0.828125,0.05486002714815968,0.12172151386996134,0.17521994134897356
