mode,current_frame,nominal_timestep,layer,head,best_policy,policy_need,recent_budget_loss,boundary_recent_loss,uniform_recent_loss
noisy,117,1000,4,5,boundary_recent,0.1140526533126831,0.13326293975114822,0.01921028643846512,0.1073727123439312
noisy,117,1000,4,6,boundary_recent,0.022137030959129333,0.2131054475903511,0.19096841663122177,0.19161799550056458
noisy,117,1000,4,7,boundary_recent,0.07266547530889511,0.24542339146137238,0.17275791615247726,0.21452386677265167
noisy,117,1000,4,8,boundary_recent,0.1406252384185791,0.3492669612169266,0.20864172279834747,0.27338409423828125
noisy,117,1000,4,9,boundary_recent,0.073272205889225,0.27114303410053253,0.19787082821130753,0.23766067624092102
noisy,117,1000,4,10,boundary_recent,0.07189666479825974,0.22336651384830475,0.151469849050045,0.1896578148007393
noisy,117,1000,4,11,boundary_recent,0.09257499128580093,0.2321212962269783,0.13954630494117737,0.19757556170225143
noisy,117,1000,5,0,boundary_recent,0.036741720512509346,0.08450214564800262,0.04776042513549328,0.05939183756709099
noisy,117,1000,5,1,boundary_recent,0.014918864704668522,0.03116540890187025,0.01624654419720173,0.027302763424813747
noisy,117,1000,5,2,boundary_recent,0.07827978348359466,0.09388520568609238,0.01560542220249772,0.06736665591597557
noisy,117,1000,5,3,boundary_recent,0.09224563837051392,0.3585776835680008,0.2663320451974869,0.3118481934070587
noisy,117,1000,5,4,boundary_recent,0.12125854566693306,0.17137451469898224,0.05011596903204918,0.12460508197546005
noisy,117,1000,5,5,boundary_recent,0.048578307032585144,0.14492622762918472,0.09634792059659958,0.11992193013429642
noisy,117,1000,5,6,boundary_recent,0.08463295549154282,0.1197369247674942,0.035103969275951385,0.08490823209285736
noisy,117,1000,5,7,boundary_recent,0.06179810035973787,0.08810045942664146,0.02630235906690359,0.03761643171310425
noisy,117,1000,5,8,boundary_recent,0.05321001261472702,0.2740345150232315,0.22082450240850449,0.24520480632781982
noisy,117,1000,5,9,boundary_recent,0.21033304929733276,0.3286864012479782,0.11835335195064545,0.24952047318220139
noisy,117,1000,5,10,uniform_recent,0.047169655561447144,0.11094507202506065,0.06653758138418198,0.06377541646361351
noisy,117,1000,5,11,boundary_recent,0.07688198797404766,0.12223146483302116,0.0453494768589735,0.09646546095609665
noisy,117,1000,6,0,boundary_recent,0.08166025578975677,0.1873651221394539,0.10570486634969711,0.151714988052845
noisy,117,1000,6,1,boundary_recent,0.019674114882946014,0.23414655029773712,0.2144724354147911,0.21825378388166428
noisy,117,1000,6,2,boundary_recent,0.010758773423731327,0.029763956554234028,0.0190051831305027,0.02454204112291336
noisy,117,1000,6,3,boundary_recent,0.0033955946564674377,0.12566998600959778,0.12227439135313034,0.12433486804366112
noisy,117,1000,6,4,recent_budget,-0.02411649376153946,0.09584513306617737,0.14220762252807617,0.11996162682771683
noisy,117,1000,6,5,boundary_recent,0.02370588481426239,0.15956944227218628,0.1358635574579239,0.14947690069675446
noisy,117,1000,6,6,boundary_recent,0.02956375479698181,0.31383636593818665,0.28427261114120483,0.3028569221496582
noisy,117,1000,6,7,boundary_recent,0.08426855504512787,0.18777399510145187,0.103505440056324,0.16170919686555862
noisy,117,1000,6,8,boundary_recent,0.018328145146369934,0.1767968311905861,0.15846868604421616,0.15915264189243317
noisy,117,1000,6,9,boundary_recent,0.06276069954037666,0.14412427693605423,0.08136357739567757,0.11983900517225266
noisy,117,1000,6,10,boundary_recent,0.04193168878555298,0.24776025861501694,0.20582856982946396,0.20672287046909332
noisy,117,1000,6,11,boundary_recent,0.053932810202240944,0.09577957168221474,0.04184676147997379,0.0694626122713089
noisy,117,1000,7,0,boundary_recent,0.06425990350544453,0.09748201817274094,0.03322211466729641,0.07285156473517418
noisy,117,1000,7,1,recent_budget,-0.008429549634456635,0.06879309564828873,0.08034371957182884,0.07722264528274536
noisy,117,1000,7,2,boundary_recent,0.09853383153676987,0.26703938841819763,0.16850555688142776,0.21214792132377625
noisy,117,1000,7,3,boundary_recent,0.029339304193854332,0.07214474678039551,0.042805442586541176,0.06172054447233677
noisy,117,1000,7,4,boundary_recent,0.09517162665724754,0.19226594269275665,0.09709431603550911,0.1541380062699318
noisy,117,1000,7,5,recent_budget,-0.0021832510828971863,0.1499755010008812,0.17893708497285843,0.15215875208377838
noisy,117,1000,7,6,uniform_recent,0.01377394050359726,0.1442008540034294,0.14034419506788254,0.13042691349983215
noisy,117,1000,7,7,recent_budget,-0.0027977339923381805,0.06345546245574951,0.06625319644808769,0.07002992928028107
noisy,117,1000,7,8,boundary_recent,0.08882646262645721,0.2744475305080414,0.18562106788158417,0.22076477110385895
noisy,117,1000,7,9,uniform_recent,0.020725823938846588,0.19775764644145966,0.1974973902106285,0.17703182250261307
noisy,117,1000,7,10,boundary_recent,0.017114154994487762,0.17219660431146622,0.15508244931697845,0.16364331543445587
noisy,117,1000,7,11,boundary_recent,0.010046876966953278,0.1772657036781311,0.16721882671117783,0.16828647255897522
noisy,117,1000,8,0,boundary_recent,0.026470154523849487,0.053024496883153915,0.026554342359304428,0.044910747557878494
noisy,117,1000,8,1,boundary_recent,0.008977478370070457,0.04484790377318859,0.035870425403118134,0.04243919625878334
noisy,117,1000,8,2,boundary_recent,0.12384304404258728,0.29783739149570465,0.17399434745311737,0.23942527920007706
noisy,117,1000,8,3,boundary_recent,0.020380960777401924,0.045294973999261856,0.024914013221859932,0.03713939152657986
noisy,117,1000,8,4,boundary_recent,0.030102006159722805,0.04179958626627922,0.011697580106556416,0.031240468844771385
noisy,117,1000,8,5,boundary_recent,0.03481708653271198,0.07241707667708397,0.037599990144371986,0.060831064358353615
noisy,117,1000,8,6,boundary_recent,0.15230399370193481,0.45702968537807465,0.30472569167613983,0.3354053348302841
noisy,117,1000,8,7,boundary_recent,0.049183450639247894,0.13721957802772522,0.08803612738847733,0.11023375019431114
noisy,117,1000,8,8,boundary_recent,0.0005462728440761566,0.11494027450680733,0.11439400166273117,0.11675848811864853
noisy,117,1000,8,9,boundary_recent,0.06059751659631729,0.18745365738868713,0.12685614079236984,0.1590767502784729
noisy,117,1000,8,10,boundary_recent,0.022244385443627834,0.041358718648552895,0.01911433320492506,0.03160424903035164
noisy,117,1000,8,11,boundary_recent,0.005428846925497055,0.0426947008818388,0.03726585395634174,0.04175656475126743
noisy,117,1000,9,0,boundary_recent,0.03763021156191826,0.11000996083021164,0.07237974926829338,0.08951304852962494
noisy,117,1000,9,1,boundary_recent,0.022183604538440704,0.14658591896295547,0.12440231442451477,0.13373124599456787
noisy,117,1000,9,2,uniform_recent,0.0280744805932045,0.16174844652414322,0.13700269162654877,0.13367396593093872
noisy,117,1000,9,3,boundary_recent,0.08915132284164429,0.2618238031864166,0.17267248034477234,0.19469435513019562
noisy,117,1000,9,4,boundary_recent,0.022751962766051292,0.0626207310706377,0.03986876830458641,0.05255005694925785
noisy,117,1000,9,5,uniform_recent,0.01062602549791336,0.23579614609479904,0.235744446516037,0.22517012059688568
noisy,117,1000,9,6,boundary_recent,0.05057124048471451,0.25302985310554504,0.20245861262083054,0.2088334709405899
noisy,117,1000,9,7,boundary_recent,0.006266370415687561,0.14620821177959442,0.13994184136390686,0.14639005810022354
noisy,117,1000,9,8,boundary_recent,0.00034748949110507965,0.055642638355493546,0.055295148864388466,0.06143672950565815
noisy,117,1000,9,9,boundary_recent,0.013852838426828384,0.05996398255228996,0.04611114412546158,0.05371749401092529
noisy,117,1000,9,10,boundary_recent,0.014643337577581406,0.09919191896915436,0.08454858139157295,0.08946474641561508
noisy,117,1000,9,11,boundary_recent,0.01733735203742981,0.2055557519197464,0.1882183998823166,0.19329412281513214
noisy,117,1000,10,0,uniform_recent,0.010525688529014587,0.13382694125175476,0.12899379432201385,0.12330125272274017
noisy,117,1000,10,1,boundary_recent,0.05023033916950226,0.22572444379329681,0.17549410462379456,0.18521462380886078
noisy,117,1000,10,2,boundary_recent,0.024926863610744476,0.16389050334692,0.13896363973617554,0.14396843314170837
noisy,117,1000,10,3,boundary_recent,0.03812776133418083,0.1108175665140152,0.07268980517983437,0.09065026789903641
noisy,117,1000,10,4,uniform_recent,0.03937694430351257,0.17476733028888702,0.14428912103176117,0.13539038598537445
noisy,117,1000,10,5,uniform_recent,0.030765190720558167,0.16946519166231155,0.1451658234000206,0.1387000009417534
noisy,117,1000,10,6,boundary_recent,0.06698234379291534,0.17202525585889816,0.10504291206598282,0.1426485851407051
noisy,117,1000,10,7,boundary_recent,0.08591514080762863,0.2279280349612236,0.14201289415359497,0.1719616800546646
noisy,117,1000,10,8,boundary_recent,0.21679463237524033,0.38059498369693756,0.16380035132169724,0.25606024265289307
noisy,117,1000,10,9,boundary_recent,0.09910509176552296,0.14115723967552185,0.042052147909998894,0.09546907991170883
noisy,117,1000,10,10,boundary_recent,0.049126096069812775,0.19959091395139694,0.15046481788158417,0.16977277398109436
noisy,117,1000,10,11,boundary_recent,0.0064330510795116425,0.060071540996432304,0.05363848991692066,0.058700766414403915
noisy,117,1000,11,0,uniform_recent,0.0168745294213295,0.23279329389333725,0.2486022487282753,0.21591876447200775
noisy,117,1000,11,1,uniform_recent,0.006055891513824463,0.21831147372722626,0.23397396504878998,0.2122555822134018
noisy,117,1000,11,2,boundary_recent,0.0696619376540184,0.1416361853480339,0.0719742476940155,0.11069853231310844
noisy,117,1000,11,3,boundary_recent,0.010159455239772797,0.06908467784523964,0.05892522260546684,0.06287694722414017
noisy,117,1000,11,4,boundary_recent,0.008520374074578285,0.023705745115876198,0.015185371041297913,0.02114159520715475
noisy,117,1000,11,5,boundary_recent,0.028832759708166122,0.14996252954006195,0.12112976983189583,0.1372237354516983
noisy,117,1000,11,6,uniform_recent,0.02223789691925049,0.16833243519067764,0.157547265291214,0.14609453827142715
noisy,117,1000,11,7,uniform_recent,0.031163156032562256,0.21236387640237808,0.20445439964532852,0.18120072036981583
noisy,117,1000,11,8,boundary_recent,0.03826706111431122,0.20324253290891647,0.16497547179460526,0.18624532967805862
noisy,117,1000,11,9,boundary_recent,0.027718156576156616,0.1178164891898632,0.09009833261370659,0.10729986056685448
noisy,117,1000,11,10,boundary_recent,0.09650906175374985,0.2430395632982254,0.14653050154447556,0.18102125823497772
noisy,117,1000,11,11,uniform_recent,0.019163474440574646,0.2099945917725563,0.19709010422229767,0.19083111733198166
