mode,current_frame,layer,head,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples
clean,21,5,2,0.7012229859828949,128,16.728035926818848,128,0.9293353259563446,128,0.01054361229762435,128,0.9894564151763916,128,0.8731572329998016,128,0.2116786241531372,128,0.2626165598630905,128,18.0,128,0.8333333134651184,128,0.23529411852359772,128,6.0,128,0.8076178431510925,128,0.7035755217075348,128,0.15327363461256027,128
clean,21,5,3,0.312035471200943,128,9.389996528625488,128,0.5216664671897888,128,0.22759664058685303,128,0.7724033892154694,128,0.3192395269870758,128,-0.005374401807785034,128,0.9890997111797333,128,1.0,128,1.0,128,0.0,128,9.0,128,0.3829817622900009,128,-0.08418604359030724,128,-0.06441368348896503,128
clean,21,5,4,0.5835251808166504,128,15.274810791015625,128,0.8486005961894989,128,0.029925577342510223,128,0.970074474811554,128,0.7208589017391205,128,0.19229668378829956,128,0.5367990136146545,128,18.0,128,0.8888888955116272,128,0.23529411852359772,128,6.0,128,0.7198425829410553,128,0.9001988172531128,128,0.33755064010620117,128
clean,21,5,5,0.1942211613059044,128,6.446038007736206,128,0.35811321437358856,128,0.5637746453285217,128,0.43622535467147827,128,0.22870440781116486,128,-0.3415524363517761,128,0.8553100526332855,128,1.0,128,1.0,128,0.0,128,18.0,128,0.6994239389896393,128,-1.8231767416000366,128,-0.48248760402202606,128
clean,21,5,6,0.540585994720459,128,12.965040683746338,128,0.7202800214290619,128,0.1652657836675644,128,0.834734171628952,128,0.6245884597301483,128,0.05695638060569763,128,0.6804141998291016,128,18.0,128,1.0,128,0.0,128,6.0,128,0.5951154232025146,128,-0.13674550503492355,128,0.08204477280378342,128
clean,21,5,7,0.44541728496551514,128,3.2460650205612183,128,0.18033695220947266,128,0.8064422905445099,128,0.19355770200490952,128,0.0911993682384491,128,-0.5842200815677643,128,0.4625396728515625,128,1.0,128,1.0,128,0.0,128,6.0,128,0.6117815673351288,128,-1.2054702639579773,128,-0.4461668133735657,128
clean,21,5,8,0.22251242399215698,128,8.256821632385254,128,0.45871230959892273,128,0.289053350687027,128,0.710946649312973,128,0.26510465145111084,128,-0.06683114171028137,128,0.9548158943653107,128,1.0,128,1.0,128,0.0,128,9.0,128,0.4168899953365326,128,-0.6354806125164032,128,-0.3588729500770569,128
clean,21,5,9,0.859236866235733,128,13.942348957061768,128,0.7745749354362488,128,0.04546523280441761,128,0.9545347988605499,128,0.6650418639183044,128,0.17675700783729553,128,0.6507646143436432,128,17.0,128,1.0,128,0.0,128,6.0,128,0.8022370040416718,128,0.768926352262497,128,0.4042420834302902,128
clean,21,5,10,0.5361816585063934,128,1.5600606203079224,128,0.08667003735899925,128,0.9501137733459473,128,0.04988618567585945,128,0.02347870171070099,128,-0.7278916239738464,128,0.18118547648191452,128,1.0,128,1.0,128,0.0,128,6.0,128,0.8701112866401672,128,-0.8314640522003174,128,-0.3639203906059265,128
clean,21,5,11,0.46721750497817993,128,10.92168664932251,128,0.6067603826522827,128,0.20569084584712982,128,0.7943091690540314,128,0.41907329857349396,128,0.016531378030776978,128,0.8348853290081024,128,18.0,128,1.0,128,0.0,128,6.0,128,0.6508916914463043,128,0.05371752381324768,128,0.07108421251177788,128
