factor,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,native_score,native_score_samples,query_score,query_score_samples,current_key_score,current_key_score_samples
action,11,9,0.12586900414357385,16,-0.023203413037257536,16,-0.07780999506590319,16,0.19194329549325212,16,0.14497632338012706,16,0.16139135345983652,16
action,11,10,0.20908696599396576,16,-0.04264579309485134,16,-0.14814173607917214,16,0.0893838083496619,16,0.18343858175834948,16,0.08401032046562976,16
action,11,11,0.18556324848031414,16,-0.02953203456784461,16,-0.09931849507698862,16,0.15139871705554067,16,0.15785447040413006,16,0.13241313898127832,16
action,12,0,0.15611047353782942,16,-0.03120671083192946,16,-0.0006133657197443104,16,0.14794167456396523,16,0.17195376362098752,16,0.05557196848862211,16
action,12,1,0.037213343598256274,16,-0.06716027588260731,16,-0.13872817911498578,16,0.17130271763907218,16,0.04133461232592589,16,0.241671217586037,16
action,12,2,0.4396985013864537,16,-0.035532998607953684,16,-0.17659787654874903,16,0.07452389430321242,16,0.14640576709772618,16,0.025261432533714483,16
action,12,3,0.0032196106211662637,16,-0.040703250820550915,16,-0.0260854694929086,16,0.01597139190885459,16,0.0358223524753289,16,0.10498408175477093,16
action,12,4,0.14840715833829976,16,-0.06038204607387396,16,-0.12055702872084206,16,-0.06702751396495077,16,-0.029980836995243593,16,0.0438729295418876,16
action,12,5,0.015946832314733535,16,-0.0349649992946966,16,-0.20345384729571286,16,-0.06501027081723297,16,-0.013321789591097524,16,0.02374691594562883,16
action,12,6,0.2519588691640371,16,-0.014758626247388312,16,-0.08810044838551948,16,0.2258533051957925,16,0.09286649526182215,16,0.08204768960995926,16
action,12,7,0.2521736807106456,16,-0.025742324563014445,16,-0.10189379859463372,16,0.12356199125366758,16,0.15686701378006482,16,0.17188747309307323,16
action,12,8,0.17251125332658013,16,0.0055522834980942055,16,-0.004980234657559868,16,0.08504489451996225,16,-0.00010599404855213181,16,0.043380005256813486,16
action,12,9,0.0454925459625129,16,-0.0404753190211268,16,-0.16162826035374503,16,0.0015937304858049915,16,0.11000576861971312,16,0.04400187569118389,16
action,12,10,0.12680782558334933,16,-0.04178709053597489,16,-0.15177147053717904,16,0.10269263305567561,16,0.1535251837138334,16,0.07989788076702063,16
action,12,11,0.27038409656457457,16,-0.032296566796770426,16,-0.24946540448067256,16,0.10440185921534854,16,0.0819228574628257,16,0.08031131714469716,16
action,13,0,0.0824784935385719,16,-0.04974964949836742,16,-0.11111462365394568,16,0.12233728271677632,16,0.0868940904240605,16,0.040639262730531686,16
action,13,1,-0.07945318793101018,16,-0.005201506115716958,16,-0.19326054156868794,16,0.01928167002445131,16,0.09514134779589377,16,0.10434494688471724,16
action,13,2,0.1413751154611917,16,-0.05764383854969092,16,-0.05811860407960516,16,0.14107909482733133,16,0.09807123792451816,16,0.201768659819913,16
action,13,3,0.0024613319610697565,16,-0.0704305040120243,16,-0.1730849314801365,16,0.007681125430836534,16,0.14025859383494602,16,-0.024096104849355916,16
action,13,4,0.19294568163729986,16,-0.07591004417469738,16,-0.24068102828103283,16,-0.020266247714696914,16,0.10989007843363617,16,0.03264192595162913,16
