operator,factor,call_index,layer,head,discovery_gain,validation_gain,validation_ci_lower,validation_ci_upper,validation_win_fraction,full_budget_fraction,relative_reference_energy,selected
landmark,head_only,-1,13,6,-2.6023211585532278,-2.482349882026114,-2.6462131941961493,-2.300209782246406,0.0,0.06380208333333333,0.9525755561696986,False
landmark,head_only,-1,13,7,-3.341416416266614,-3.411733188859836,-3.62913034220419,-3.2017502690796102,0.0,0.06380208333333333,1.0474244438303013,False
landmark,head_only,-1,13,8,-3.398494216039186,-3.3000861778027275,-3.545096826002373,-3.091502303478986,0.0,0.06380208333333333,0.5474074676362799,False
landmark,head_only,-1,13,9,-3.8765228858155067,-3.8248599778664305,-4.027285988620911,-3.6142646965977843,0.0,0.06380208333333333,1.1129846284150258,False
landmark,head_only,-1,13,10,-2.3714656214949503,-2.2930498007175792,-2.4725810916235904,-2.1087122941439627,0.0,0.06380208333333333,0.9357836854337377,False
landmark,head_only,-1,13,11,-3.7863872286899847,-3.665604613540593,-3.831645714783105,-3.496349661690946,0.0,0.06380208333333333,1.8706669294066693,False
landmark,head_only,-1,14,0,-4.5337633438023595,-4.261273716472967,-4.5632833306377085,-4.0082966078895685,0.0,0.009114583333333334,1.1112604662322907,False
landmark,head_only,-1,14,1,-3.799557122777997,-3.771006553451869,-3.9200287889381107,-3.619467083643602,0.0,0.009114583333333334,1.1419173588743217,False
landmark,head_only,-1,14,2,-2.877059743137556,-2.9292737192627354,-3.1155285414244958,-2.7493329831404707,0.0,0.009114583333333334,0.6391731864293024,False
landmark,head_only,-1,14,3,-5.178831624787325,-5.105882784210763,-5.244556659417783,-4.982988689159204,0.0,0.009114583333333334,0.9655617399931984,False
landmark,head_only,-1,14,4,-4.514786811248992,-4.259092308284673,-4.628157323582808,-3.830367333559079,0.0,0.009114583333333334,1.036068963357355,False
landmark,head_only,-1,14,5,-5.003533596290847,-4.8728781362980635,-5.194235617589031,-4.592183714033232,0.0,0.009114583333333334,0.7954720078168567,False
landmark,head_only,-1,14,6,-2.7876216419489084,-2.732879202908038,-2.860609133086116,-2.6016616493788,0.0,0.009114583333333334,0.4166500077794045,False
landmark,head_only,-1,14,7,-3.630886426750232,-3.5510527424089946,-3.6878958398595265,-3.4066220940592116,0.0,0.009114583333333334,0.8594737681811666,False
landmark,head_only,-1,14,8,-5.094645822856158,-4.882526247606586,-5.08987415812817,-4.683480858970565,0.0,0.009114583333333334,1.2658696804928995,False
landmark,head_only,-1,14,9,-2.29074475734522,-2.2483357608110834,-2.37388105598477,-2.1151086640429058,0.0,0.009114583333333334,0.7814209327601574,False
landmark,head_only,-1,14,10,-5.109861174569218,-4.981566633548039,-5.134616087291949,-4.834480851603502,0.0,0.009114583333333334,1.0344382600068018,False
landmark,head_only,-1,14,11,-3.119843839542378,-3.1299308170015463,-3.3271801001605206,-2.949680495414266,0.0,0.009114583333333334,1.5621097321561288,False
