variant,mode,current_frame,nominal_timestep,layer,head,discovery_query_shift,discovery_key_shift,discovery_value_shift,discovery_value_scale_shift,discovery_compatibility_loss,discovery_policy_shift,discovery_topology_normalized_entropy_shift,discovery_topology_diagonal_mass_shift,discovery_topology_expected_displacement_shift,discovery_topology_directional_coherence_shift,discovery_topology_top1_displacement_shift,validation_query_shift,validation_key_shift,validation_value_shift,validation_value_scale_shift,validation_compatibility_loss,validation_policy_shift,validation_topology_normalized_entropy_shift,validation_topology_diagonal_mass_shift,validation_topology_expected_displacement_shift,validation_topology_directional_coherence_shift,validation_topology_top1_displacement_shift
action,clean,63,0,2,6,0.2018302083015442,0.2888855040073395,0.4914233088493347,0.11403651908040047,0.11817759275436401,0.0754811242222786,0.060791015625,0.071044921875,0.006130218505859375,0.236083984375,0.002155303955078125,0.15831071138381958,0.2315874695777893,0.36820998787879944,0.10120126232504845,0.12896233797073364,0.07507685199379921,0.06353759765625,0.057861328125,0.0036468505859375,0.17791748046875,0.00431060791015625
action,clean,63,0,2,7,0.03616014122962952,0.014646440744400024,0.4682552218437195,0.13909290730953217,0.0043659210205078125,0.09124002978205681,0.0177001953125,0.023193359375,0.014984130859375,0.067901611328125,0.040744781494140625,0.02877742052078247,0.01386997103691101,0.38188937306404114,0.12507818266749382,0.0154600590467453,0.06410630233585835,0.02734375,0.0443115234375,0.0167236328125,0.1158447265625,0.0129241943359375
action,clean,63,0,2,8,0.03144291043281555,0.0145987868309021,0.42735183238983154,0.12029716745018959,1.5944242477416992e-05,0.0791095495223999,0.01422119140625,0.03466796875,0.0024566650390625,0.030517578125,0.0,0.029189348220825195,0.012897253036499023,0.27802178263664246,0.09822908043861389,0.003664940595626831,0.10341020300984383,0.015380859375,0.03125,0.00274658203125,0.024169921875,0.0
action,clean,63,0,2,9,0.0709531307220459,0.06269195675849915,0.21884173154830933,0.08675697445869446,0.009251534938812256,0.2187381461262703,0.013671875,0.01580810546875,0.00689697265625,0.14166259765625,0.012939453125,0.07474648952484131,0.06049719452857971,0.21319177746772766,0.10825948789715767,0.0027992725372314453,0.13627571985125542,0.015625,0.00543212890625,0.003662109375,0.026947021484375,0.0172576904296875
action,clean,63,0,2,10,0.07995307445526123,0.08064141869544983,0.46842488646507263,0.14496686309576035,0.0324116051197052,0.08992300927639008,0.019287109375,0.0262451171875,0.006256103515625,0.08111572265625,0.002166748046875,0.06514567136764526,0.07050004601478577,0.37039732933044434,0.1560959666967392,0.022991091012954712,0.12827062606811523,0.046630859375,0.0670166015625,0.01385498046875,0.07684326171875,0.0
action,clean,63,0,2,11,0.0443914532661438,0.01892760396003723,0.5377077460289001,0.1859298124909401,-0.0003714710474014282,0.13844096660614014,0.02587890625,0.07470703125,0.005950927734375,0.11322021484375,0.004314422607421875,0.036117762327194214,0.01572510600090027,0.46089696884155273,0.15899708122015,0.025027811527252197,0.07519293576478958,0.023193359375,0.084228515625,0.00771331787109375,0.1519775390625,0.017242431640625
action,clean,63,0,3,0,0.129084050655365,0.09626075625419617,0.5679782330989838,0.16102678328752518,-0.002354666590690613,0.1665981113910675,0.0390625,0.0677490234375,0.07275390625,0.178466796875,0.06201171875,0.12697488069534302,0.07851812243461609,0.4748050272464752,0.10986009985208511,0.01576293259859085,0.1516350954771042,0.0364990234375,0.0208740234375,0.02685546875,0.080322265625,0.030029296875
action,clean,63,0,3,1,0.2269391417503357,0.23671481013298035,0.5352238416671753,0.15692131221294403,0.015811145305633545,0.09373187646269798,0.013916015625,0.014892578125,0.0374755859375,0.1522216796875,0.05828857421875,0.21941158175468445,0.22705158591270447,0.44665831327438354,0.1558559462428093,0.06590816378593445,0.13162611424922943,0.0439453125,0.020751953125,0.054931640625,0.0877685546875,0.1112823486328125
action,clean,63,0,3,2,0.2132299542427063,0.1692771315574646,0.5959208309650421,0.20006303489208221,0.042532533407211304,0.07830216735601425,0.025146484375,0.0269775390625,0.0078125,0.1947784423828125,0.017238616943359375,0.14342612028121948,0.13119980692863464,0.46904364228248596,0.17711091786623,0.025754690170288086,0.09127507731318474,0.05224609375,0.0504150390625,0.0079803466796875,0.0998687744140625,0.010776519775390625
action,clean,63,0,3,3,0.27818167209625244,0.41073504090309143,0.47328540682792664,0.14410537481307983,0.14223411679267883,0.09003214538097382,0.1005859375,0.1195068359375,0.0152130126953125,0.20281982421875,0.006465911865234375,0.22950893640518188,0.32556217908859253,0.3459588289260864,0.122173260897398,0.15881767868995667,0.07787643373012543,0.0418701171875,0.04052734375,0.01107025146484375,0.21075439453125,0.00431060791015625
