variant,measure,context_count,median_layer_residual_split_spearman,minimum_layer_residual_split_spearman,median_layer_residual_cross_context_spearman,minimum_layer_residual_cross_context_spearman,state_interpretation
action_excess_seed,topology_normalized_entropy_shift,6,-0.006970666968696655,-0.11654434024237402,0.00809307154448359,-0.15273131223594197,state_conditioned_or_unstable
action_excess_seed,topology_diagonal_mass_shift,6,0.011524451406480195,-0.07853334699099579,-0.0048023546680982625,-0.1224005357077867,state_conditioned_or_unstable
action_excess_seed,topology_expected_displacement_shift,6,-0.0010687442401382781,-0.056698758188321464,0.06434800489948067,-0.10771097869980807,state_conditioned_or_unstable
action_excess_seed,topology_directional_coherence_shift,6,-0.005490743313216931,-0.103510849526395,0.07047922327560242,-0.07449590962478465,state_conditioned_or_unstable
action_excess_seed,topology_top1_displacement_shift,6,0.05959276772421063,-0.010724801417171812,0.03718081842542723,-0.16800282042882478,state_conditioned_or_unstable
camera,query_shift,6,0.9554456238744529,0.9297602491057344,0.8453177365051685,0.7673034675428047,context_stable_candidate
camera,key_shift,6,0.9743664431567115,0.9686360748668327,0.9632769800178499,0.9632769800178499,context_stable_candidate
camera,value_shift,6,0.8466347476960984,0.8314187095065033,0.8231575860924852,0.8231575860924852,context_stable_candidate
camera,value_scale_shift,6,0.7895346414709989,0.7705329516431454,0.733774951967222,0.733774951967222,context_stable_candidate
camera,compatibility_loss,6,0.7740840335702178,0.6447678351427608,0.7387965956527442,0.5249335771623752,context_stable_candidate
camera,policy_shift,6,0.6153393673305092,0.5435396878062331,0.5597321995797292,0.4458442323371836,context_stable_candidate
camera,topology_normalized_entropy_shift,6,0.4293428911566581,0.31920775933968165,0.5746264544335042,0.3660946619094431,state_conditioned_or_unstable
camera,topology_diagonal_mass_shift,6,0.5972789898373612,0.5172419291982542,0.6685343363628451,0.4803668505999542,context_stable_candidate
camera,topology_expected_displacement_shift,6,0.7708338446986422,0.7217102654740476,0.7533053572836552,0.6827275810794871,context_stable_candidate
camera,topology_directional_coherence_shift,6,0.3281261491130615,0.2639187272065343,0.3128392718792543,0.20055014620110534,state_conditioned_or_unstable
camera,topology_top1_displacement_shift,6,0.7429772946328286,0.7018990007211146,0.7554504251591653,0.6796621895046355,context_stable_candidate
camera_excess_seed,query_shift,6,0.5376960213170369,0.10765103640202985,0.35541735147133335,0.12396160464201111,context_stable_candidate
camera_excess_seed,key_shift,6,-0.022875179513471705,-0.0935439376810997,0.12194872902825894,0.12194872902825894,state_conditioned_or_unstable
camera_excess_seed,value_shift,6,0.15691569122189727,0.12334302991021019,0.2665331779823404,0.2665331779823404,state_conditioned_or_unstable
camera_excess_seed,value_scale_shift,6,0.011530567365488936,-0.06469314320840952,0.07220451803897664,0.07220451803897664,state_conditioned_or_unstable
camera_excess_seed,compatibility_loss,6,0.05082433763635007,0.017086037186500924,0.09053387757621585,-0.044906982306962245,state_conditioned_or_unstable
camera_excess_seed,policy_shift,6,0.022296982744208417,-0.05015393637296584,0.01053094545482604,-0.11528201092086615,state_conditioned_or_unstable
camera_excess_seed,topology_normalized_entropy_shift,6,-0.06414598191650783,-0.21066384907813324,0.15690413979288306,0.025065953559778267,state_conditioned_or_unstable
camera_excess_seed,topology_diagonal_mass_shift,6,-0.12633250926873651,-0.19404477057520841,0.26615109751349947,0.05590463736205758,state_conditioned_or_unstable
camera_excess_seed,topology_expected_displacement_shift,6,0.008660951916237811,-0.07467781216091324,0.07389422679370299,-0.09409976686415428,state_conditioned_or_unstable
camera_excess_seed,topology_directional_coherence_shift,6,0.04447874974872792,-0.06984228069307953,0.06256145560831373,-0.09497081155433994,state_conditioned_or_unstable
camera_excess_seed,topology_top1_displacement_shift,6,-0.04535577898816007,-0.06285269018099636,-0.01031143852623012,-0.09527261235344868,state_conditioned_or_unstable
full_semantic,query_shift,6,0.9588813699694184,0.9374295718405167,0.8596614685812903,0.778999631937963,context_stable_candidate
full_semantic,key_shift,6,0.9751340673924952,0.9730365717842472,0.9622332476845243,0.9622332476845243,context_stable_candidate
full_semantic,value_shift,6,0.870003369367562,0.868278304616548,0.8590953633901495,0.8590953633901495,context_stable_candidate
full_semantic,value_scale_shift,6,0.7160378037896382,0.7104319220570117,0.6710633055296208,0.6710633055296208,context_stable_candidate
full_semantic,compatibility_loss,6,0.7812529417665259,0.6141276810263453,0.7976249816742412,0.6850068287563947,context_stable_candidate
full_semantic,policy_shift,6,0.6426194132156369,0.5796955737827194,0.6151986769445238,0.47749339629678206,context_stable_candidate
full_semantic,topology_normalized_entropy_shift,6,0.5378506483870038,0.31986366622277423,0.5888836262074699,0.4663185152278981,context_stable_candidate
