feature,raw_split_spearman,layer_residual_split_spearman,discovery_layer_eta_squared,validation_layer_eta_squared,raw_discovery_iqr,layer_residual_discovery_iqr
paraphrase.compatibility_loss_excess_seed,0.19835543998539085,0.11217987793115687,0.15991233091289894,0.23460593049775713,0.019864091649651527,0.017432433553040028
paraphrase.policy_shift_excess_seed,0.016598636306350098,-0.003446014243937067,0.11552253305506659,0.10023848564405219,0.019775296095758677,0.01717513194307685
paraphrase.topology_normalized_entropy_shift_excess_seed,0.07384474278185595,-0.006436009761397268,0.18548220552308564,0.1304723477795718,0.015043258666992188,0.011887282133102417
paraphrase.topology_diagonal_mass_shift_excess_seed,0.07872033733275692,-0.022405892256098965,0.13072011382338317,0.2409769410491245,0.01778411865234375,0.015333175659179688
paraphrase.topology_expected_displacement_shift_excess_seed,-0.026860058263109134,-0.058868396327234576,0.1606341474976829,0.1195969621926347,0.0038594603538513184,0.0033280961215496063
paraphrase.topology_directional_coherence_shift_excess_seed,0.036391317339414996,0.08671917865605708,0.08595021048905527,0.12546573696851543,0.057940006256103516,0.05081057548522949
paraphrase.topology_top1_displacement_shift_excess_seed,0.004645095494692201,0.06904855034946628,0.07132941784976869,0.15156559230187416,0.00439453125,0.0034084320068359375
full_semantic.query_shift_excess_seed,0.46203108563080475,0.30577344989801875,0.3623151320225199,0.4097793716614584,0.023198947310447693,0.015693679451942444
full_semantic.key_shift_excess_seed,0.2849096057839952,0.26391253018927613,0.15487173988287498,0.13101570462610748,0.025865737348794937,0.021097183227539062
full_semantic.value_shift_excess_seed,0.5114422179183481,0.28593559106680344,0.4490344162306046,0.4644871938124513,0.0432756282389164,0.03344140946865082
full_semantic.value_scale_shift_excess_seed,0.08738107547126135,0.0186734979950977,0.24485362902672916,0.2696426241276893,0.01173927541822195,0.00954385194927454
full_semantic.compatibility_loss_excess_seed,0.11513669086952831,0.09169335154335037,0.1316479065244073,0.08099083641160054,0.0320756621658802,0.02282743714749813
full_semantic.policy_shift_excess_seed,-0.013394650678888982,0.013602471212483633,0.05156672631787178,0.09545525243085774,0.0221513903234154,0.020846556406468153
full_semantic.topology_normalized_entropy_shift_excess_seed,0.049388080833599496,0.01738157533467094,0.18877816587862048,0.23432013263652957,0.020139694213867188,0.014530837535858154
full_semantic.topology_diagonal_mass_shift_excess_seed,0.1553551151808844,0.10924586534402274,0.10860011607150406,0.33256658633063885,0.03240203857421875,0.0254364013671875
full_semantic.topology_expected_displacement_shift_excess_seed,0.02101393594468217,-0.0036989749661069824,0.10526401292161182,0.08219469909638469,0.005378246307373047,0.00491366907954216
full_semantic.topology_directional_coherence_shift_excess_seed,-0.05481461238596915,-0.06732962201282967,0.05598429152247625,0.10858134109017414,0.06525611877441406,0.06069768965244293
full_semantic.topology_top1_displacement_shift_excess_seed,0.14316074978128274,0.16471436635654363,0.07142886039125468,0.09231917136482991,0.004312992095947266,0.0034427642822265625
