layer,head,cluster,validation_cluster,split_agree,cluster_margin,pf_official,legacy_v98,forcing_kv,head_forcing,dummy_forcing
24,3,2,2,1,0.502848732914708,1,10,dynamic,memory,context
24,4,2,2,1,0.49891045644851506,1,10,dynamic,anchor,context
24,5,2,2,1,0.2015208107187314,-1,10,dynamic,memory,context
24,6,2,2,1,0.22877885087461763,1,10,static,memory,context
24,7,2,2,1,0.4118236001008536,-1,10,static,memory,context
24,8,2,2,1,0.11301985993930745,-1,10,dynamic,memory,context
24,9,2,2,1,0.4749772021300774,1,10,static,memory,context
24,10,2,2,1,0.2867064288508086,1,10,static,memory,context
24,11,2,2,1,0.3571941826980831,2,10,dynamic,memory,context
25,0,2,2,1,0.37374478683254003,1,10,dynamic,memory,context
25,1,2,2,1,0.3909659876282279,-1,10,static,memory,context
25,2,2,2,1,0.3555412467220469,1,10,static,memory,context
25,3,2,2,1,0.48078789559821944,1,10,static,memory,context
25,4,2,2,1,0.5811744317717431,1,10,dynamic,memory,context
25,5,2,2,1,0.35666820088835166,1,10,dynamic,memory,context
25,6,1,1,1,0.2912034485981744,-1,10,static,memory,context
25,7,1,1,1,0.244010381298013,-1,11,static,local,dummy
25,8,2,2,1,0.503185327227748,1,10,static,memory,context
25,9,1,1,1,0.4199790091530046,-1,10,static,local,dummy
25,10,2,2,1,0.30775291976584085,-1,10,dynamic,memory,context
25,11,1,1,1,0.20923701230296166,2,11,static,memory,context
26,0,2,2,1,0.29254687794868284,1,10,dynamic,memory,context
26,1,1,1,1,0.4312549842469697,-1,11,static,anchor,dummy
26,2,2,2,1,0.3596339054335201,1,10,dynamic,memory,context
26,3,2,2,1,0.1272613345690566,1,10,dynamic,memory,context
26,4,1,1,1,0.5270196740596564,-1,10,static,local,dummy
26,5,1,1,1,0.23328882963078254,-1,10,static,memory,dummy
26,6,2,2,1,0.2141642025525945,1,10,static,memory,context
26,7,1,1,1,0.42708664224578313,-1,10,static,memory,dummy
26,8,2,2,1,0.3628875898644548,1,10,static,memory,context
26,9,2,2,1,0.5715739316574551,1,10,dynamic,memory,context
26,10,1,1,1,0.33166821216122233,2,11,static,local,dummy
26,11,2,2,1,0.48562378553650576,1,10,dynamic,memory,context
27,0,2,2,1,0.32368601934988644,1,10,dynamic,memory,context
27,1,1,1,1,0.15490427270498155,-1,10,dynamic,anchor,context
27,2,2,2,1,0.12037036772125065,1,10,static,memory,context
27,3,1,1,1,0.2833530605504736,-1,11,static,memory,context
27,4,2,2,1,0.11495836362325335,1,10,dynamic,anchor,context
27,5,1,1,1,0.03541137294139042,1,10,dynamic,memory,context
27,6,1,1,1,0.4890723107078074,-1,10,static,local,dummy
27,7,1,1,1,0.44107336289433746,-1,10,static,local,dummy
27,8,2,2,1,0.40239504166200724,1,10,dynamic,memory,context
27,9,1,1,1,0.43751341728614435,2,11,static,memory,dummy
27,10,1,1,1,0.22433269631985508,-1,10,static,local,dummy
27,11,2,2,1,0.040162737735146566,1,10,static,local,dummy
28,0,2,2,1,0.019699336610963496,-1,10,dynamic,memory,context
28,1,1,1,1,0.03986535079926496,-1,10,static,memory,context
28,2,2,2,1,0.07565399158293153,1,10,dynamic,memory,context
28,3,2,2,1,0.22132300856409654,1,10,dynamic,memory,context
28,4,1,1,1,0.0951552477381569,1,10,dynamic,anchor,context
28,5,1,1,1,0.4461222795521818,-1,10,static,anchor,context
28,6,1,1,1,0.4773823304690868,-1,10,static,local,dummy
