mode,nominal_timestep,layer,head,old_history_effect,old_history_effect_samples,reverse_effect,reverse_effect_samples,reverse_relative_log,reverse_relative_log_samples,phase_shift_effect,phase_shift_effect_samples,phase_shift_relative_log,phase_shift_relative_log_samples,freeze_latest_effect,freeze_latest_effect_samples,freeze_latest_relative_log,freeze_latest_relative_log_samples,value_mismatch_effect,value_mismatch_effect_samples,value_mismatch_relative_log,value_mismatch_relative_log_samples,reverse_vs_phase_log,reverse_vs_phase_log_samples,correct_top1,correct_top1_samples,correct_margin,correct_margin_samples,hard_wrong_top1,hard_wrong_top1_samples,random_wrong_top1,random_wrong_top1_samples,wrong_top1,wrong_top1_samples,history_specificity,history_specificity_samples,hard_history_specificity,hard_history_specificity_samples,correct_peak_age,correct_peak_age_samples
clean,0,2,8,0.0806155800819397,128,0.07063102722167969,128,-0.15579496708584495,128,0.03856243938207626,128,-0.7601686975664954,128,0.07875402271747589,128,-0.05911010565913133,128,0.03843756951391697,128,-0.7717700866885814,128,0.6172165248760534,128,0.8301381170749664,128,0.03376239538192749,128,0.8226250410079956,128,0.832629531621933,128,0.8345199227333069,128,-0.0048902034759521484,128,0.005514740943908691,128,18.0,128
clean,0,2,9,0.07340670004487038,128,0.017827127128839493,128,-1.3963277892063748,128,0.007461352040991187,128,-2.37867139548464,128,0.0753023773431778,128,0.08491768408716505,128,0.012084126006811857,128,-1.8700509344026628,128,0.9519119151673519,128,0.7282613813877106,128,0.012824416160583496,128,0.7257257997989655,128,0.7419492304325104,128,0.7498818635940552,128,-0.027957797050476074,128,-0.0029361844062805176,128,8.0,128
clean,0,2,10,0.12920060753822327,128,0.03344586864113808,128,-1.3033192714839619,128,0.03493724204599857,128,-1.3297110980403635,128,0.10047701001167297,128,-0.27301961173646894,128,0.03965897113084793,128,-1.2022929658128776,128,0.009423119908625295,128,0.6769170463085175,128,0.022413522005081177,128,0.6460804045200348,128,0.6754845976829529,128,0.6816734671592712,128,-0.0077931880950927734,128,0.02502840757369995,128,11.0,128
clean,0,2,11,0.0563503373414278,128,0.04031997732818127,128,-0.3240629181207382,128,0.021691263653337955,128,-0.953982049856017,128,0.057056307792663574,128,-0.049074199156655854,128,0.02143201045691967,128,-0.9704766449170742,128,0.6640054745052588,128,0.5743374228477478,128,0.014534860849380493,128,0.5591831207275391,128,0.5748005211353302,128,0.5796637237071991,128,-0.006403833627700806,128,0.011771529912948608,128,16.0,128
clean,0,3,0,0.08072135597467422,128,0.056411756202578545,128,-0.3647969928322063,128,0.030410571955144405,128,-0.9899862233049137,128,0.07048748433589935,128,-0.13846773924915276,128,0.028302015736699104,128,-1.0526459967505581,128,0.6458384971267213,128,0.30817000567913055,128,0.01999090611934662,128,0.2974599450826645,128,0.33489732444286346,128,0.3386007696390152,128,-0.025514453649520874,128,0.01425197720527649,128,16.5,128
clean,0,3,1,0.1120884008705616,128,0.011741007212549448,128,-2.1476703018901784,128,0.013930096291005611,128,-2.134867034370031,128,0.11825349926948547,128,-0.03818630068394656,128,0.017711962573230267,128,-1.7940908232435446,128,0.038806672197631786,128,0.2628297805786133,128,0.022295422852039337,128,0.24034874886274338,128,0.30119042098522186,128,0.31058351695537567,128,-0.03366529941558838,128,0.03228360414505005,128,11.0,128
clean,0,3,2,0.12012962996959686,128,0.038438405841588974,128,-1.197337895674295,128,0.031049354001879692,128,-1.3579998933728712,128,0.09258091822266579,128,-0.280842395667508,128,0.04125242307782173,128,-1.053543123270714,128,0.2156691953594087,128,0.6588665843009949,128,0.042628511786460876,128,0.6089372932910919,128,0.6388954818248749,128,0.647515743970871,128,0.004019409418106079,128,0.04944658279418945,128,6.0,128
clean,0,3,3,0.07110967114567757,128,0.008010717574506998,128,-2.1327660774510147,128,0.004025687696412206,128,-2.80779286786078,128,0.07339111715555191,128,-0.03067564319829827,128,0.040847038850188255,128,-0.5511023861912423,128,0.6935340756481049,128,0.6212813556194305,128,0.015132367610931396,128,0.39324410259723663,128,0.433026447892189,128,0.4636152386665344,128,0.14699652791023254,128,0.20321127772331238,128,4.0,128
clean,0,3,4,0.17188610136508942,128,0.08315709978342056,128,-0.7513861460780713,128,0.05672474578022957,128,-1.2106675380781557,128,0.15675685554742813,128,-0.20137349841369062,128,0.06723886728286743,128,-1.0700603903304415,128,0.44701753166461894,128,0.6148528456687927,128,0.03907966613769531,128,0.5733271539211273,128,0.5991174578666687,128,0.6094754040241241,128,0.005268871784210205,128,0.04703637957572937,128,18.0,128
clean,0,3,5,0.0401271115988493,128,0.0030415045330300927,128,-2.5491570113599904,128,0.0011383198434486985,128,-3.4916022277752576,128,0.03357101045548916,128,-0.18993519812107273,128,0.022934244014322758,128,-0.5102390366694202,128,0.904446360132655,128,0.6788970530033112,128,0.013976991176605225,128,0.5093934834003448,128,0.5500878393650055,128,0.5671469271183014,128,0.11271771788597107,128,0.1650593876838684,128,2.0,128
