cohort,base_seed,candidate,control,window,effective_seed,source_index,motion_group,delta_imaging_quality,delta_dynamic_degree,delta_official_quality_score,delta_subject_consistency
v219,21600,ours_correct,sf_fifo21,full,21677,77,dd_tied,-0.0007713006337483064,0.0,-0.07722614000640249,0.0006407148734568491
v219,21600,ours_correct,sf_fifo21,full,21681,81,dd_up,-0.017455263535181786,0.1333333333333333,0.48651284687881,-0.0034406205263531886
v219,21600,ours_correct,sf_fifo21,full,21682,82,dd_tied,0.0049258528153101055,0.0,1.2577934405426063,0.0036232581869790614
v219,21600,ours_correct,sf_fifo21,full,21684,84,dd_down,-0.04178269771734866,-0.2,-2.053604413041114,0.004950295573851626
v219,21600,ours_correct,sf_fifo21,full,21685,85,dd_tied,0.04383719229698185,0.0,-3.4041738243958974,-0.02569769693625301
v219,21600,ours_correct,sf_fifo21,full,21689,89,dd_tied,0.020754886786143012,0.0,0.7049317769719892,0.004972430006800255
v219,21600,ours_correct,sf_fifo21,full,21690,90,dd_tied,0.0015413994789122976,0.0,0.03884659103816546,5.787816879387897e-05
v219,21600,ours_correct,sf_fifo21,full,21692,92,dd_tied,0.000454137643178254,0.0,0.07902635477228159,-0.00019330322814137268
v219,21600,ours_correct,sf_fifo21,full,21693,93,dd_tied,-0.0049245908260345805,0.0,-0.346895182639841,-0.002048326326844152
v219,21600,ours_correct,sf_fifo21,full,21697,97,dd_tied,-0.007426410039266029,0.0,-0.32196196521184106,-0.0024497764078831308
v219,21600,ours_correct,sf_fifo21,full,21698,98,dd_tied,0.010738179206848164,0.0,0.11681101693943674,0.00491192992381273
v219,21600,ours_correct,sf_fifo21,full,21700,100,dd_down,-0.019535947481791105,-0.13333333333333333,-1.3870251221238163,0.0007452254984958717
v219,21600,ours_correct,sf_fifo21,full,21701,101,dd_up,0.009398662408192981,0.3333333333333333,2.6061790884708103,0.0010782498013537367
v219,21600,ours_correct,sf_fifo21,full,21705,105,dd_tied,0.005644931793212904,0.0,-0.03667327088203365,-0.0033788333233211176
v219,21600,ours_correct,sf_fifo21,full,21706,106,dd_tied,0.0058705324331918,0.0,0.10504344868074611,0.0003610885202922631
v219,21600,ours_correct,sf_fifo21,full,21708,108,dd_down,-0.0017266623179118534,-0.06666666666666665,-0.01445109994280358,0.0022475318700373448
v219,21600,ours_correct,sf_fifo21,full,21709,109,dd_tied,-0.0035350616772970023,0.0,-0.09739349513434092,6.188237805382357e-05
v219,21600,ours_correct,sf_fifo21,full,21713,113,dd_tied,0.09906597407658896,0.0,1.461743555941851,0.0016063428569346172
v219,21600,ours_correct,sf_fifo21,full,21714,114,dd_up,0.05622486805915827,0.06666666666666665,1.1932295720065866,0.004298118955699204
