prompt_split,switch_type,mode,current_frame,nominal_timestep,episode,stale_a_visible,boundary_offset,layer,head,prompt_history_excess,policy_prompt_score,stale_a_mass,persistent_content,persistent_positioned,persistent_output
all,identity_scene,clean,54,0,A,1,-3,12,2,0.15397240221500397,0.4730898304250163,1.0,0.00011821091175079346,0.0004141703248023987,0.0010707378387451172
all,identity_scene,clean,54,0,A,1,-3,12,3,0.37320664525032043,1.0253540689142118,1.0,0.0006159842014312744,0.0012665987014770508,0.0021935105323791504
all,identity_scene,clean,54,0,A,1,-3,12,4,0.2514382302761078,0.6548891795926195,1.0,-6.556510925292969e-05,0.00010383129119873047,0.001367717981338501
all,identity_scene,clean,54,0,A,1,-3,12,5,-0.006141781806945801,0.907362295128894,1.0,-0.00016671419143676758,-0.00010025501251220703,0.002990901470184326
all,identity_scene,clean,54,0,A,1,-3,12,6,0.04276666045188904,0.4425914290091113,1.0,0.000296175479888916,8.757412433624268e-05,0.00102311372756958
all,identity_scene,clean,54,0,A,1,-3,12,7,-0.1503121256828308,0.3921300676982188,1.0,0.00011205673217773438,0.00033989548683166504,0.0018199384212493896
all,identity_scene,clean,54,0,A,1,-3,12,8,0.01813158392906189,0.26294443376463056,1.0,-6.70701265335083e-05,0.00013537704944610596,0.0009149909019470215
all,identity_scene,clean,54,0,A,1,-3,12,9,-0.013860270380973816,0.6695503788179878,1.0,-0.0002894401550292969,-4.887580871582031e-06,-0.001466125249862671
all,identity_scene,clean,54,0,A,1,-3,12,10,0.03946813941001892,0.7279486789825034,1.0,-0.00012597441673278809,0.00015129148960113525,0.0005740821361541748
all,identity_scene,clean,54,0,A,1,-3,12,11,0.3261546790599823,0.5091080219488682,1.0,-6.198883056640625e-05,-8.529424667358398e-05,0.0021134614944458008
all,identity_scene,clean,54,0,A,1,-3,13,0,0.28269657492637634,1.0763036923949016,1.0,0.00024338066577911377,0.00029127299785614014,-0.0005916357040405273
all,identity_scene,clean,54,0,A,1,-3,13,1,-0.05466565489768982,0.6297604395339755,1.0,0.0006797313690185547,0.0003064274787902832,0.00030031800270080566
all,identity_scene,clean,54,0,A,1,-3,13,2,0.4041953980922699,0.945739072327425,1.0,0.000783085823059082,0.000968635082244873,0.005627036094665527
all,identity_scene,clean,54,0,A,1,-3,13,3,0.06085246801376343,0.44938219609494856,1.0,0.00034928321838378906,0.0005332529544830322,0.005488336086273193
all,identity_scene,clean,54,0,A,1,-3,13,4,0.1791965663433075,0.655198993741708,1.0,0.00046956539154052734,4.1544437408447266e-05,0.0004105865955352783
all,identity_scene,clean,54,0,A,1,-3,13,5,-0.36010152101516724,0.21447829138072258,1.0,0.0004711449146270752,-6.726384162902832e-05,0.0003808438777923584
all,identity_scene,clean,54,0,A,1,-3,13,6,-0.26276610791683197,0.496663109177918,1.0,5.513429641723633e-05,9.906291961669922e-05,0.0012437701225280762
all,identity_scene,clean,54,0,A,1,-3,13,7,-0.18645527213811874,0.32102964056021965,1.0,-0.0002486705780029297,-0.00032213330268859863,0.00040841102600097656
all,identity_scene,clean,54,0,A,1,-3,13,8,0.44374749064445496,0.31515216163624643,1.0,0.00021943449974060059,0.0002886652946472168,-0.0002536773681640625
all,identity_scene,clean,54,0,A,1,-3,13,9,-0.16574320197105408,0.46902976843513033,1.0,0.000617682933807373,0.0007761716842651367,0.0002785325050354004
all,identity_scene,clean,54,0,A,1,-3,13,10,0.2907675504684448,0.7154908446837321,1.0,0.00012874603271484375,0.0003615915775299072,0.0010072886943817139
all,identity_scene,clean,54,0,A,1,-3,13,11,0.2798362374305725,0.9516861855885578,1.0,-0.0002945065498352051,7.839500904083252e-05,0.0015777945518493652
