dataset_index,family_index,seed_replicate,variant,seed,declared_seed,reference_seed,state_count,record_count,path
67,6,1,identity,155006,155006,155006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00067_v145_f06_s1_identity.pt
68,6,1,scene,155006,155006,155006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00068_v145_f06_s1_scene.pt
69,6,1,full_semantic,155006,155006,155006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00069_v145_f06_s1_full_semantic.pt
70,7,0,base,145007,145007,145007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00070_v145_f07_s0_base.pt
71,7,0,paraphrase,145007,145007,145007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00071_v145_f07_s0_paraphrase.pt
72,7,0,identity,145007,145007,145007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00072_v145_f07_s0_identity.pt
73,7,0,scene,145007,145007,145007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00073_v145_f07_s0_scene.pt
74,7,0,full_semantic,145007,145007,145007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00074_v145_f07_s0_full_semantic.pt
75,7,1,base,155007,155007,155007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00075_v145_f07_s1_base.pt
76,7,1,paraphrase,155007,155007,155007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00076_v145_f07_s1_paraphrase.pt
77,7,1,identity,155007,155007,155007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00077_v145_f07_s1_identity.pt
78,7,1,scene,155007,155007,155007,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00078_v145_f07_s1_scene.pt
