layer,head,discovery_best,discovery_margin,coverage_gain,episode_gain,stability_frequency,supported_nonlocal,assigned_policy
22,6,recent,0.822835133951271,-0.9173266318995572,-0.822835133951271,1.0,False,recent
22,7,recent,0.9109812611172181,-0.9391658170633042,-0.9109812611172181,1.0,False,recent
22,8,recent,3.0399879694037626,-3.108194726837895,-3.0399879694037626,1.0,False,recent
22,9,recent,0.3446209279522643,-0.3446209279522643,-0.39798183937630727,1.0,False,recent
22,10,recent,2.025525730434432,-2.1627353759504,-2.025525730434432,1.0,False,recent
22,11,recent,1.9176842343243639,-1.9176842343243639,-1.9336611888816257,1.0,False,recent
23,0,recent,1.9013004264545232,-2.013092431473002,-1.9013004264545232,1.0,False,recent
23,1,recent,3.7891980115789865,-3.7891980115789865,-3.7933948867783354,1.0,False,recent
23,2,coverage,0.12413609282726279,0.5753629067881616,0.4512268139608988,1.0,True,coverage
23,3,recent,2.0482632319994947,-2.1380703968485504,-2.0482632319994947,1.0,False,recent
23,4,recent,1.6091731184659799,-1.7839099403374443,-1.6091731184659799,1.0,False,recent
23,5,recent,1.6472513479881792,-1.7140468591078761,-1.6472513479881792,1.0,False,recent
23,6,recent,0.8911224842443799,-1.0530328606449002,-0.8911224842443799,1.0,False,recent
23,7,recent,2.2479269878448394,-2.2479269878448394,-2.2514108865627183,1.0,False,recent
23,8,recent,1.3110427619691558,-1.5101750583447338,-1.3110427619691558,1.0,False,recent
23,9,recent,2.5301647302073156,-2.6390124905334202,-2.5301647302073156,1.0,False,recent
23,10,recent,3.156046809749432,-3.225830851520467,-3.156046809749432,1.0,False,recent
23,11,recent,2.4653566242070664,-2.5816052473994224,-2.4653566242070664,1.0,False,recent
24,0,recent,2.4053551153562633,-2.548066983666261,-2.4053551153562633,1.0,False,recent
24,1,recent,2.600167414296392,-2.726755770922161,-2.600167414296392,1.0,False,recent
24,2,recent,2.614764586754653,-2.62970307902974,-2.614764586754653,1.0,False,recent
24,3,recent,0.37264999329154636,-0.4852010945201042,-0.37264999329154636,1.0,False,recent
24,4,recent,0.8110698831201382,-0.9556752352671456,-0.8110698831201382,1.0,False,recent
24,5,recent,2.5134301270025534,-2.5765324966732974,-2.5134301270025534,1.0,False,recent
24,6,recent,2.607797280906393,-2.759262990196512,-2.607797280906393,1.0,False,recent
24,7,recent,3.3401883582360923,-3.4813934159375823,-3.3401883582360923,1.0,False,recent
24,8,recent,2.193522699839498,-2.2601904160970685,-2.193522699839498,1.0,False,recent
24,9,recent,1.418648278778696,-1.5299908475360477,-1.418648278778696,1.0,False,recent
24,10,recent,1.7425720174048196,-1.8156156698651953,-1.7425720174048196,1.0,False,recent
24,11,recent,3.107061313364715,-3.2345673298533324,-3.107061313364715,1.0,False,recent
25,0,recent,1.3598840108393917,-1.527555466652693,-1.3598840108393917,1.0,False,recent
25,1,recent,2.194589301587883,-2.378481637764627,-2.194589301587883,1.0,False,recent
25,2,recent,2.1680129961855683,-2.3232416650404004,-2.1680129961855683,1.0,False,recent
25,3,recent,1.9226910513450743,-2.06961734872602,-1.9226910513450743,1.0,False,recent
25,4,recent,1.5512282681739453,-1.719609972390697,-1.5512282681739453,1.0,False,recent
25,5,recent,0.6479090047632639,-0.7900680649125071,-0.6479090047632639,1.0,False,recent
25,6,recent,2.4231965278548087,-2.4884278641595037,-2.4231965278548087,1.0,False,recent
25,7,recent,1.0297816747419084,-1.299747076191112,-1.0297816747419084,1.0,False,recent
25,8,recent,1.625676117728033,-1.799973165763574,-1.625676117728033,1.0,False,recent
25,9,recent,1.4301231060271693,-1.4301231060271693,-1.4383718410288413,1.0,False,recent
25,10,recent,0.8234039860622326,-0.9254983574018056,-0.8234039860622326,1.0,False,recent
